edge_id,road_name,road_class,road_surface,lanes,highway_rt,length_feature_m,length_calc_m,from,to,elev_from,geometry.x,elev_to,geometry.y,elev_diff,slope,length_3d_m
2545849,Spall Rd,arterial,paved,2,NA,111.2883,111.28832289592096,5144,5157,1863,"c(1469774, 562866.5)",1871,"c(1469784, 562755.5)",8,0.07188534962002939,111.57549378329797
2156214,Spall Rd,arterial,paved,2,NA,13.3072,13.30717900235209,5155,5154,1869,"c(1469783.5, 562920)",1868,"c(1469782.5, 562933.5)",-1,-0.07514740726214374,13.344699809311575
2156213,Spall Rd,arterial,paved,2,NA,9.9789,9.97886832254008,5156,5155,1870,"c(1469784.5, 562910.5)",1869,"c(1469783.5, 562920)",-1,-0.10021176426802013,10.028849036584102
2155789,NA,resource,loose,2,NA,85.5889,85.58891347950302,5214,5155,1898,"c(1469843.5, 562871.5)",1869,"c(1469783.5, 562920)",-29,-0.3388289303023454,90.36847962980153
2542487,Spall Rd,arterial,paved,2,NA,43.1151,43.11513945248237,5161,5156,1873,"c(1469788, 562867.5)",1870,"c(1469784.5, 562910.5)",-3,-0.06958112714227285,43.219385118335516
2542486,Spall Rd,arterial,paved,2,NA,76.8025,76.80254064799894,5165,5161,1876,"c(1469794.5, 562791)",1873,"c(1469788, 562867.5)",-3,-0.039061207802351054,76.86111012721277
2542488,Okanagan Rail Trail,trail,loose,1,NA,542.3444,542.3443938940621,5457,5161,1958,"c(1470285.5, 562848)",1873,"c(1469788, 562867.5)",-85,-0.1567269818900411,548.9648819262646
2667740,Spall Rd,arterial,paved,2,NA,69.5458,69.54578960543829,5177,5173,1883,"c(1469809.5, 562634.5)",1881,"c(1469803, 562703.5)",-2,-0.028758031382587187,69.57454169338011
2689531,Enterprise Crt,local,paved,2,NA,230.8981,230.89806630303752,5185,5315,1888,"c(1469817, 562523)",1919,"c(1470034.5, 562571)",31,0.13425837858388417,232.96977705805944
2689530,Enterprise Way,local,paved,2,NA,281.7944,281.7943583592181,5315,5473,1919,"c(1470034.5, 562571)",1964,"c(1470312, 562579)",45,0.15969091880340675,285.36478479848114
2542483,Hardy St,local,paved,2,NA,42.7802,42.78024304934675,5446,5457,1956,"c(1470272.5, 562888.5)",1958,"c(1470285.5, 562848)",2,0.04675055253176127,42.82696808508841
2542485,Okanagan Rail Trail,trail,loose,1,NA,780.1685,780.1684559853159,5877,5457,2074,"c(1470977.5, 563194)",1958,"c(1470285.5, 562848)",-116,-0.14868583715487124,788.7450917213442
2542484,Hardy St,local,paved,2,NA,270.3739,270.37393330111354,5457,5473,1958,"c(1470285.5, 562848)",1964,"c(1470312, 562579)",6,0.022191488383304474,270.4404995719298
2489988,Cooper Rd,local,paved,1,NA,11.7394,11.739397471698316,5674,5668,2008,"c(1470623.5, 562509.5)",2005,"c(1470619.5, 562498.5)",-3,-0.25554974241501643,12.116660142073673
2402863,Boynton Pl,local,paved,2,NA,137.1561,137.1561328516027,4496,4455,1537,"c(1468786.5, 564635)",1517,"c(1468736.5, 564508)",-20,-0.14581921773515719,138.6066548864321
2402862,Traditions Cres,local,paved,2,NA,203.1866,203.18655320204527,4580,4455,1573,"c(1468877, 564624)",1517,"c(1468736.5, 564508)",-56,-0.2756087896442367,210.76236713922052
2585721,Okanagan Rail Trail,trail,loose,1,NA,1548.3982,1548.3981822836768,5001,3759,1806,"c(1469557.5, 563031.5)",1104,"c(1468112, 563512)",-702,-0.4533717541340984,1700.1002708368098
2156210,Bernard Ave,local,paved,2,NA,40.2639,40.26393388705258,5181,5219,1885,"c(1469812.5, 563112.5)",1899,"c(1469850.5, 563107.5)",14,0.3477057169642803,42.62844557406405
